Iterations	Fitness (Avergage from 30 samples)
381	347,715186932879
382	346,950643196774
383	346,950643196774
384	346,950643196774
385	346,950643196774
386	346,941524959144
387	346,581418257315
388	346,572286616566
389	346,383552850133
390	346,374711949393
391	346,374711949393
392	346,374711949393
393	346,349397007426
394	346,349397007426
395	346,324710873562
396	346,175551740328
397	346,175551740328
398	346,144766687639
399	346,13633001404
400	346,13633001404
401	345,788716708006
402	345,626036910342
403	345,603111861335
404	345,447852000497
405	345,447852000497
406	345,165404327409
407	344,959582894722
408	344,864133431651
409	344,555432165912
410	344,555432165912
411	344,48948932774
412	344,48948932774
413	344,286594208062
414	344,286594208062
415	344,209453231684
416	344,207394886322
417	344,207394886322
418	344,109592530098
419	344,034945644643
420	344,034945644643
421	344,034945644643
422	343,71053904599
423	343,707044976015
424	343,617228833035
425	343,617228833035
426	343,038185053875
427	342,912158178887
428	342,575553002593
429	342,474567193986
430	342,474567193986
431	342,474567193986
432	342,473624345639
433	342,473624345639
434	342,473624345639
435	342,473624345639
436	342,394208372
437	342,394208372
438	342,392762809768
439	342,392762809768
440	342,322709752964
441	342,07756399893
442	342,044494943835
443	342,044494943835
444	341,986705648087
445	341,549420976074
446	341,549420976074
447	340,479788062844
448	339,997363884031
449	339,997363884031
450	339,873550040398
451	339,838388859864
452	339,724168891745
453	339,724168891745
454	339,661681042827
455	339,661681042827
456	339,603791898285
457	339,603791898285
458	339,58759206219
459	339,58759206219
460	339,58759206219
461	339,58759206219
462	339,557953940685
463	339,557953940685
464	339,536133740805
465	339,536133740805
466	339,536133740805
467	339,051393463811
468	338,765812367807
469	338,624711596613
470	338,624711596613
471	338,624711596613
472	338,520741618611
473	338,520741618611
474	338,431537077503
475	338,430528640806
476	338,430528640806
477	338,427975315329
478	338,128278882688
479	338,128278882688
480	337,867349050815
481	337,852653500803
482	337,852653500803
483	337,832785971351
484	337,7530345843
485	337,7530345843
486	337,736550091006
487	337,736550091006
488	337,728737267107
489	337,716972055349
490	337,596615303305
491	337,081737561595
492	336,89264935634
493	336,825941282025
494	336,825941282025
495	335,894704860554
496	335,832432066654
497	335,832432066654
498	335,751468038051
499	335,751468038051
500	335,751468038051
501	335,751468038051
502	335,55581362466
503	335,55302704542
504	335,479010860302
505	335,473588416766
506	335,473588416766
507	335,472241237908
508	335,471958237512
509	335,467742644346
510	335,467742644346
511	335,463532736279
512	335,413167115836
513	335,168532300421
514	335,081474772753
515	335,080032331794
516	334,775423878578
517	334,744500843648
518	334,555346556659
519	334,550200368316
520	334,387611199667
521	334,386091505547
522	334,386091505547
523	334,189019447696
524	333,998319519729
525	333,839494175824
526	333,726289691078
527	333,593543290464
528	333,593543290464
529	333,543949759561
530	333,409566655154
531	333,332067911885
532	333,258215817298
533	333,250057706424
534	333,250057706424
535	333,1833298426
536	333,119209534967
537	332,992730786677
538	332,871997840917
539	332,375659885699
540	332,362716871047
541	332,200855287988
542	332,188655755663
543	332,181535168113
544	332,181535168113
545	332,088465235824
546	332,088465235824
547	332,047132793277
548	332,047132793277
549	332,035505041237
550	332,035475990121
551	331,838601519521
552	331,828136541782
553	331,772519128942
554	331,658466498315
555	331,572398386472
556	331,562673815299
557	331,562673815299
558	331,562673815299
559	330,52010196937
560	330,519444529269
561	330,519444529269
562	330,297762677856
563	330,297762677856
564	330,297762677856
565	330,288491957158
566	330,288491957158
567	330,278012556753
568	330,270148195417
569	330,225261604174
570	330,225261604174
571	330,225261604174
572	330,225261604174
573	330,208086414573
574	329,805404443969
575	329,795871106927
576	329,794903269703
577	329,7921683967
578	329,787671459248
579	329,784280451171
580	329,781701283367
581	329,779724183224
582	329,751489804358
583	329,75030460146
584	329,536945452997
585	329,536220000225
586	329,535649082769
587	329,433113115878
588	329,432756453711
589	329,400600555477
590	329,124706136094
591	329,020049662399
592	329,019620204098
593	329,019506760489
594	329,019416273349
595	329,019344055043
596	328,781605978301
597	328,693654589455
598	328,201694009057
599	328,20166459431
