1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Fitness	Iterations (Average from 30 samples)
21804,918245744	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	22088,1546557693	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22547,9589358236	17780,7750414154	25710,3773017202	18488,8090420676	21081,7845587385	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	31159,685274716	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26510,6374736606	19512,3593644945	19682,4505161495	10	21690,9321301668
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	20992,564083311	24013,2351920438	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	31159,685274716	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26283,2298099683	19512,3593644945	19682,4505161495	11	21546,0515344275
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	20992,564083311	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	31159,685274716	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26154,397122432	19512,3593644945	19682,4505161495	12	21505,3006588057
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	20992,564083311	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30980,2756782219	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	26099,759892409	19512,3593644945	19682,4505161495	13	21497,4990979218
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	23318,9255890256	23678,6873971935	20992,564083311	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30980,2756782219	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	14	21486,741131016
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	21040,1104903486	23678,6873971935	20992,564083311	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30980,2756782219	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	15	21410,7806277268
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	21040,1104903486	23678,6873971935	20992,564083311	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30840,6182673912	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	16	21406,1253806991
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	21040,1104903486	23678,6873971935	19472,3480968782	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30840,6182673912	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	17	21355,4515144847
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	21040,1104903486	23678,6873971935	19472,3480968782	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30840,6182673912	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	18	21355,4515144847
20650,3486170867	26763,9572937731	13773,2056256842	19468,2098787122	21040,1104903486	23678,6873971935	19472,3480968782	22919,541610925	16600,6748157916	24464,3671994263	15665,3639486863	22470,9505551108	17780,7750414154	25710,3773017202	18488,8090420676	19289,9429320809	21267,4057531931	20735,7280645411	25967,1441468699	23159,7200586343	23257,4217680166	18684,3191452604	30840,6182673912	23290,5842683939	23135,548423876	19166,6385391262	17948,9163864566	25777,0208852367	19512,3593644945	19682,4505161495	19	21355,4515144847
